"Step","Group: L5OSTL - test_acc","Group: L5OSTL - test_acc__MIN","Group: L5OSTL - test_acc__MAX","Group: SmallOSTL - test_acc","Group: SmallOSTL - test_acc__MIN","Group: SmallOSTL - test_acc__MAX"
"95","94.64999999999999","93.1","95.5","91.62500000000001","86.9","94.2"
"96","90.06666666666668","87.5","93.3","87.38749999999999","82.7","92"
"97","92.56666666666668","86.9","95.1","89.475","83.1","93.5"
"98","94.26666666666667","91.3","95.5","91.1875","87","94.3"
"99","92.83333333333333","89.8","95","90.3375","88.2","93.1"
"100","93.43333333333332","91","94.9","89.3875","87.3","92.2"
"101","94.90000000000002","93.1","95.7","92.13749999999999","91.1","93.3"
"102","94.68333333333334","93.8","95.6","92.375","90.4","94.1"
"103","94.64999999999999","93.6","95.3","91.21249999999999","89.2","93.8"
"104","95.08333333333333","94.3","96.3","92.2125","90.1","94.7"
"105","94.7333333333333","93.8","95.4","92.56250000000001","89.7","94.4"
"106","94.05","90.3","96.7","92.35","89.8","94.5"
"107","94.8","93.6","96.1","92.85000000000001","90.6","94"
"108","93.45","91","95.3","92.00000000000001","87.1","94.8"
"109","94.46666666666668","92.2","95.8","91.62499999999999","88.2","94.2"
"110","91.53333333333335","86.5","95.2","88.73750000000001","76.2","93.6"
"111","95.66666666666667","94.5","96.1","93.88749999999999","93.4","94.8"
"112","94.01666666666665","91.9","96.2","91.45","89.4","93.9"
"113","94.78333333333335","93.1","95.9","93.1","91.2","94.4"
"114","95.64999999999999","94.8","96.2","93.43749999999999","91.6","94.7"
"115","94.88333333333333","92.3","96.9","92.175","90.8","93.7"
"116","95.73333333333333","95","96.7","92.725","90.6","94.2"
"117","95.48333333333333","93.6","96.7","93.4125","92","94.7"
"118","95.15000000000002","93.9","96.7","94.23750000000001","93.3","95.1"
"119","94.71666666666665","93","96.1","92.2125","88.1","94.8"
"120","95.86666666666666","95","96.4","93.325","92.4","94.4"
"121","95.33333333333333","93.6","96.2","93.53750000000001","90.3","95"
"122","93.26666666666667","90.5","94.8","92.22500000000001","89.9","94.5"
"123","94.89999999999999","93.9","95.9","93.55000000000001","91.3","95.7"
"124","96.48333333333333","95.9","97.2","94.35","93.3","95.4"
"125","95.43333333333334","94.2","96.6","93.91250000000001","92.5","95.4"
"126","96","95.2","96.5","94.5875","93.2","95.2"
"127","95.53333333333332","94.5","96.5","94.625","93.6","95.2"
"128","95.18333333333334","94","96.1","93.175","91.3","94.3"
"129","95.28333333333335","94.1","96.4","93.8125","92.5","95.7"
"130","95.95","95.3","96.4","93.9625","92.8","95.3"
"131","96.01666666666667","95.4","96.5","94.67500000000001","94.1","95.3"
"132","95.89999999999999","95.4","96.5","93.85000000000001","92.9","95"
"133","95.51666666666665","94.3","96.4","94.62500000000001","93.7","95.3"
"134","96.23333333333333","95.4","96.9","94.3625","93.3","95.6"
"135","95.78333333333335","94.8","96.6","93.94999999999999","92.5","95.2"
"136","95.33333333333336","94.2","96.8","93.4","90.9","95"
"137","96.36666666666666","95.8","97.2","94.7","92.9","95.7"
"138","95.98333333333333","95.2","96.9","94.12500000000001","93.1","95.2"
"139","96.75","96.3","97.2","95.48750000000001","94.8","95.9"
"140","96.56666666666666","96","97","95.45","94.6","96.4"
"141","96.36666666666666","95.5","97.3","95.52499999999999","94.7","96.7"
"142","96.73333333333333","96","97.5","95.16250000000001","94.4","96.4"
"143","96.60000000000001","95.9","97","95.2125","94.8","95.8"
"144","96.21666666666665","94.9","97.3","94.81249999999999","93.5","95.9"
"145","96.33333333333333","96","96.6","95.12499999999999","94.5","96.2"
"146","96.23333333333333","95.8","96.8","95.2","94.5","96"
"147","96.59999999999998","96.1","96.8","95.41250000000001","95","96.2"
"148","96.65000000000002","96.4","97.1","95.4375","94.6","96.1"
"149","96.51666666666665","95.9","97.1","94.925","93.8","95.7"
"150","96.48333333333333","95.5","97.4","95.48749999999998","94.6","96.2"
"151","96.11666666666666","95.4","96.9","95.15","94.2","96"
"152","96.5","96.1","96.7","94.97500000000001","94.1","95.7"
"153","96.76666666666667","96.4","97.3","95.57499999999999","95","95.9"
"154","96.93333333333334","96.6","97.7","95.5375","95","96"
"155","96.78333333333335","96.4","97.6","95.7125","95.3","96"
"156","96.89999999999999","96.5","97.8","95.6125","95.4","96.1"
"157","96.58333333333333","96.1","97.4","95.4","94.1","96.2"
"158","96.68333333333334","96.3","96.9","95.39999999999999","94.7","95.9"
"159","96.75","96.5","97.1","95.31250000000001","94.6","95.9"
"160","96.78333333333335","96.4","97.2","95.3125","94.7","95.7"
"161","96.91666666666667","96.6","97.4","95.80000000000001","95.3","96.3"
"162","96.91666666666667","96.6","97.5","95.60000000000001","95.2","96.2"
"163","96.94999999999999","96.6","97.5","95.79999999999998","95.4","96.4"
"164","96.78333333333335","96.2","97.4","95.64999999999999","95.1","96.2"
"165","96.8","96.4","97.5","95.65","95.1","96.1"
"166","96.95","96.5","97.5","95.60000000000001","94.9","96.1"
"167","96.88333333333334","96.5","97.5","95.6375","94.8","96.1"
"168","96.91666666666667","96.5","97.5","95.75000000000001","95.1","96.2"
"169","96.91666666666667","96.4","97.4","95.65","94.9","96.2"
"170","96.89999999999999","96.4","97.4","95.66250000000001","95.1","96.1"
"171","96.8","96.5","97.4","95.63750000000002","95","96.1"
"172","96.93333333333334","96.4","97.6","95.65","95","96.2"
"173","96.86666666666666","96.5","97.5","95.68750000000001","95","96.2"
"174","96.93333333333334","96.5","97.5","95.675","95","96.2"
"175","96.84999999999998","96.5","97.4","95.7125","95","96.2"
"176","96.85000000000001","96.4","97.4","95.7125","95","96.2"
"177","96.85000000000001","96.4","97.4","95.6875","95","96.2"
"178","96.86666666666667","96.4","97.4","95.6875","95","96.2"
"179","96.86666666666667","96.4","97.4","95.7","95","96.2"
